baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseMeanHIFA1-null	baseMean_WT	symbol	entrez	log10.pvalue	significant	direction
ENSG00000000003	0	NA	NA	NA	NA	NA	0	0	TSPAN6	7105	NA	No	No
ENSG00000000005	1.16874974451773	-1.52140128556767	2.07978661754946	-0.731517970511937	0.464462832069032	0.596839820858948	0.15105841229113	2.18644107674432	TNMD	64102	0.224142208654741	No	No
ENSG00000000419	2592.73224370821	0.249863470657163	0.168470254171124	1.48313108380168	0.138039586876098	0.249554891923003	2780.33770780921	2405.12677960721	DPM1	8813	0.602833912416401	No	No
ENSG00000000457	0	NA	NA	NA	NA	NA	0	0	SCYL3	57147	NA	No	No
ENSG00000000460	448.489288774012	0.415802090034918	0.118810975954635	3.49969425546747	0.000465792079613355	0.00428028842217038	510.926680119799	386.051897428225	FIRRM	55732	2.36852696558106	No	No
ENSG00000000938	0.405945739676898	-0.613985283107865	1.75504957289187	-0.349839282372049	0.726459316517623	NA	0.233479426654826	0.57841205269897	FGR	2268	NA	No	No
ENSG00000000971	0	NA	NA	NA	NA	NA	0	0	CFH	3075	NA	No	No
ENSG00000001036	0	NA	NA	NA	NA	NA	0	0	FUCA2	2519	NA	No	No
ENSG00000001084	222.161632416893	0.17100352781992	0.152585623697342	1.12070536972153	0.262413295762867	0.397554873748452	232.240684789985	212.082580043801	GCLC	2729	0.400602918022909	No	No
ENSG00000001167	747.771481023078	0.526216942953139	0.106618378024056	4.9355181789992	7.99382338913712e-07	3.76805842295982e-05	882.431490888253	613.111471157904	NFYA	4800	4.42388237218161	No	No
ENSG00000001460	78.349805137955	0.366353662616859	0.114143426304635	3.20959055179494	0.00132924170736001	0.00946178415329899	89.0916225843047	67.6079876916052	STPG1	90529	2.02402696350584	No	No
ENSG00000001461	56.3900534939525	-0.673224036952157	0.253966081852473	-2.65084231737382	0.00802913168878393	0.0326870543101446	41.1160599414922	71.6640470464128	NIPAL3	57185	1.48562421537838	No	No
ENSG00000001497	54.406782431218	0.260443242252617	0.182954623179979	1.42354009822649	0.154579646664098	0.270973071909157	58.6751556526295	50.1384092098066	LAS1L	81887	0.56707386522274	No	No
ENSG00000001561	49.3282834320172	0.334675659747015	0.255841236918918	1.30813806162562	0.190826485725448	0.315331487376508	55.7537976599352	42.9027692040991	ENPP4	22875	0.501232660679	No	No
ENSG00000001617	119.819930655448	-0.447506518010295	0.231546418072888	-1.93268598899002	0.0532748922321762	0.125813728404875	96.931833791935	142.70802751896	SEMA3F	6405	0.9002719674346	No	No
ENSG00000001626	0.276962653569897	-0.60007236682899	2.1357063955419	-0.280971377002752	0.778732353684758	NA	0.161836953946622	0.392088353193172	CFTR	1080	NA	No	No
ENSG00000001629	916.543792037843	0.252855393670823	0.228768577458805	1.10528900638181	0.269034380017249	0.403981520558609	979.406182200953	853.681401874734	ANKIB1	54467	0.393638500490828	No	No
ENSG00000001630	302.323727076331	0.974487640052604	0.413943291672543	2.35415734390857	0.0185647509852741	0.0594527608240065	400.581628251548	204.065825901113	CYP51A1	1595	1.22582797312617	No	No
ENSG00000001631	0	NA	NA	NA	NA	NA	0	0	KRIT1	889	NA	No	No
ENSG00000002016	156.428178950495	0.0909746425893615	0.182006624419364	0.49984248034701	0.617185996235633	0.727430960942049	159.852134993258	153.004222907732	RAD52	5893	0.138208218430971	No	No
ENSG00000002330	60.0856626261758	-0.576026283691489	0.317901272144771	-1.8119659597624	0.0699914563973413	0.152986908570739	41.043604172107	79.1277210802446	BAD	572	0.81534573113497	No	No
ENSG00000002549	1377.82462662918	-0.0537793084430541	0.0902183954558392	-0.596101362381006	0.551107514105837	0.671639534969774	1348.39480448345	1407.25444877491	LAP3	51056	0.172863747742642	No	No
ENSG00000002586	1061.3180843951	0.286363864343916	0.163597377231601	1.75041843084389	0.0800461379758054	0.168862485949858	1156.79265587908	965.84351291111	CD99	4267	0.772466821444662	No	No
ENSG00000002587	0	NA	NA	NA	NA	NA	0	0	HS3ST1	9957	NA	No	No
ENSG00000002726	0.118026506199059	-0.359615588300364	3.00317535630921	-0.119745118294497	0.90468505824422	NA	0.079415939582926	0.156637072815191	AOC1	26	NA	No	No
ENSG00000002745	1.10692863428773	-2.56886167730215	1.97855768541122	-1.29835066030346	0.194166865422043	NA	0.247349078385575	1.96650819018989	WNT16	51384	NA	No	No
ENSG00000002746	4.34183299666233	-0.492092008652146	0.65460667583067	-0.75173692359263	0.452209280939321	0.58584774386973	3.31947625773251	5.36418973559215	HECW1	23072	0.232215238229281	No	No
ENSG00000002822	714.17148389776	-0.633572220091983	0.256927566749484	-2.46595656553173	0.013664790305856	0.0474585068422089	503.127441391293	925.215526404226	MAD1L1	8379	1.32368592984372	No	No
ENSG00000002834	736.188805332954	-0.640529438494516	0.273849890901074	-2.33898007549655	0.0193364646895095	0.0610492474030566	532.245197822064	940.132412843844	LASP1	3927	1.21431968553915	No	No
